nama,alamat,x,y
Prince Mobil,jl Raya Tenggilis Mejoyo Non 122,112.763426,-7.317401
CAR WASH NEW PERDANA,Jl Raya Tenggilis No 144,112.759624,-7.319857
Cuci Mobil Dan Motor G23,Jl Sidosermo Airdas I No 23,112.753194,-7.314212
