nama,alamat,x,y
Kendangsari YKP Blok ABC,Kendangsari Tenggilis Mejoyo,112.749875,-7.316693
Perumahan Royale Park Kutisari,Jl. Kutisari 2 Surabaya  Kutisari,112.743502,-7.332765
Perumahan Rungkut Mapan Timur,Jl. Rungkut Mapan Timur VI Rungkut,112.779311,-7.331862
Wisma Indah,Jl. Raya Kedung Asem Wonorejo,112.779311,-7.320650
